muni_no,roll_no_txt,municipality,address,units,acres,du_per_acre,built,building_value,type,note
351,570.000,351 - TOWN OF STE. ANNE,147 - 153 CHAMPAGNE ST,62,2.36,26.3,2025,8564000,,
351,42100.000,351 - TOWN OF STE. ANNE,54 VOYAGEUR DR,60,2.76,21.7,2022,8572100,,
351,64000.000,351 - TOWN OF STE. ANNE,290 NORMANDEAU AVE,52,4.25,12.2,2027,7017300,,
351,59010.000,351 - TOWN OF STE. ANNE,255 ST ALPHONSE AVE,43,4.64,9.3,2019,6294800,,
351,35000.000,351 - TOWN OF STE. ANNE,109 ST GERARD ST,38,9.51,4,2022,5087600,,
351,44010.000,351 - TOWN OF STE. ANNE,744 TRAVERSE RD,24,1.64,14.6,2019,1784800,,
351,42408.000,351 - TOWN OF STE. ANNE,29 - 35 SEINE RIVER CROSSING,20,0.89,22.5,2020,2265900,,
351,42444.000,351 - TOWN OF STE. ANNE,13 - 15 SEINE RIVER CROSSING,20,0.83,24.1,2019,2573900,,
351,10500.000,351 - TOWN OF STE. ANNE,46 LANGEVIN RD,19,1.36,14,2020,1575400,,
351,42500.000,351 - TOWN OF STE. ANNE,418 CENTRAL AVE,16,1.5,10.7,2017,2023200,,
351,44000.000,351 - TOWN OF STE. ANNE,748 TRAVERSE RD,16,1.65,9.7,2024,1855400,,
351,10407.000,351 - TOWN OF STE. ANNE,39 FALCON BAY,15,0.68,22.1,2027,1810200,,
351,10408.000,351 - TOWN OF STE. ANNE,27 FALCON BAY,12,0.38,31.6,2026,1501700,,
351,10409.000,351 - TOWN OF STE. ANNE,21 FALCON BAY,12,0.38,31.6,2026,1499100,,
351,10410.000,351 - TOWN OF STE. ANNE,15 FALCON BAY,12,0.45,26.7,2026,1726900,,
351,37600.000,351 - TOWN OF STE. ANNE,320 CENTRAL AVE,12,1.2,10,2019,866400,,
351,42428.000,351 - TOWN OF STE. ANNE,23 SEINE RIVER CROSSING,12,0.52,23.1,2021,1337000,,
351,42440.000,351 - TOWN OF STE. ANNE,17 SEINE RIVER CROSSING,12,0.55,21.8,2019,1369300,,
351,52450.000,351 - TOWN OF STE. ANNE,18 ARENA RD,12,0.34,35.3,2026,1291300,,
351,42458.000,351 - TOWN OF STE. ANNE,1 SEINE RIVER CROSSING RD,9,1.05,8.6,2018,1023900,,
351,10411.000,351 - TOWN OF STE. ANNE,7 FALCON BAY,6,0.37,16.2,2026,1358500,,
351,38000.000,351 - TOWN OF STE. ANNE,340 CENTRAL AVE,4,0.61,6.6,2027,207500,,
463,203356.000,463 - CITY OF WINKLER,445 NORTHLANDS PKY,120,3.6,33.3,2023,17586100,,
463,300.000,463 - CITY OF WINKLER,650 SOUTH RAILWAY AVE,96,0.78,123.1,2017,15761300,,
463,315.000,463 - CITY OF WINKLER,650 SOUTH RAILWAY AVE,72,0.78,92.3,2021,8564500,,
463,203379.000,463 - CITY OF WINKLER,NA,36,2.41,14.9,2026,5144600,,
463,183158.000,463 - CITY OF WINKLER,224 VICTORIA ST,28,0.5,56,2026,3477600,,
463,76500.000,463 - CITY OF WINKLER,159 MAIN ST,12,0.91,13.2,2027,424500,,
463,183145.000,463 - CITY OF WINKLER,135 VICTORIA ST,9,0.36,25,2026,1416400,,
463,183146.000,463 - CITY OF WINKLER,119 VICTORIA ST,9,0.3,30,2025,1416400,,
463,39700.000,463 - CITY OF WINKLER,115 MAIN ST S,9,0.44,20.5,2024,1265300,,
463,29500.000,463 - CITY OF WINKLER,345 2ND ST,8,0.29,27.6,2023,473800,,
463,331305.000,463 - CITY OF WINKLER,1108 Schooner DR,8,0.37,21.6,2021,994200,,
463,331310.000,463 - CITY OF WINKLER,1126 Schooner DR,8,0.34,23.5,2022,995800,,
463,331315.000,463 - CITY OF WINKLER,1144 Schooner DR,8,0.34,23.5,2025,1186800,,
463,183153.000,463 - CITY OF WINKLER,182 VICTORIA ST,6,0.4,15,2022,745100,,
463,27000.000,463 - CITY OF WINKLER,195 6TH ST,6,0.31,19.4,2021,558100,,
463,28800.000,463 - CITY OF WINKLER,342 2ND ST,6,0.29,20.7,2021,664600,,
463,133200.000,463 - CITY OF WINKLER,233 ROYAL CRES,5,0.19,26.3,2026,626400,,
463,7750.000,463 - CITY OF WINKLER,235 4TH ST,3,0.15,20,2019,278500,,
194,83410.000,194 - RM OF TACHE,14 RIVER RIDGE DR,96,4.83,19.9,2024,15812800,,
194,42201.000,194 - RM OF TACHE,64 SAND PIPER TRL,74,3.03,24.4,2025,9266600,,
194,107340.000,194 - RM OF TACHE,237 MARCOUX AVE,48,1.32,36.4,2017,4741400,,
194,107390.000,194 - RM OF TACHE,265 MARCOUX AVE,48,2.05,23.4,2021,6940000,,
194,42370.000,194 - RM OF TACHE,277 SAND PIPER TRL,40,1.75,22.9,2023,5101300,,
194,42255.000,194 - RM OF TACHE,272 SAND PIPER TRL,30,1.11,27,2023,3535000,,
194,42275.000,194 - RM OF TACHE,348 SAND PIPER TRL,26,1.12,23.2,2024,3385800,,
194,42719.000,194 - RM OF TACHE,10 A/B FIRST AVE S,8,0.59,13.6,2024,569400,,
194,42335.000,194 - RM OF TACHE,EAGLE COVE,4,0.28,14.3,2026,511600,,
194,42340.000,194 - RM OF TACHE,16 EAGLE COVE,4,0.3,13.3,2026,503200,,
340,36010.100,340 - TOWN OF NIVERVILLE,102 RANGE AVE,56,1.51,37.1,2026,12246700,,
340,33205.000,340 - TOWN OF NIVERVILLE,161/171 2ND AVE S,49,2.43,20.2,2019,12324200,,
340,22500.000,340 - TOWN OF NIVERVILLE,93 4TH AVE S,48,1.68,28.6,2023,6712100,,
340,19500.000,340 - TOWN OF NIVERVILLE,111 2ND AVE S,35,2.61,13.4,2017,2043000,,
340,36010.200,340 - TOWN OF NIVERVILLE,101 RANGE AVE,30,1.09,27.5,2025,5700300,,
340,21300.000,340 - TOWN OF NIVERVILLE,71 4TH AVE S,24,0.88,27.3,2020,3141800,,
340,21900.000,340 - TOWN OF NIVERVILLE,79 4TH AVE S,22,0.56,39.3,2020,3230500,,
340,22200.000,340 - TOWN OF NIVERVILLE,78 3RD AVE S,10,0.57,17.5,2024,1352500,,
340,2000.000,340 - TOWN OF NIVERVILLE,50 - 58 2ND ST N,5,0.19,26.3,2021,848900,,
340,32160.000,340 - TOWN OF NIVERVILLE,10 CEDAR DR,3,0.91,3.3,2017,970500,,
135,113729.000,135 - RM OF HANOVER,41 EDGEMONT PL,42,0.66,63.6,2024,5792100,,
135,113732.000,135 - RM OF HANOVER,86 CRESTVIEW LANE,27,1.22,22.1,2024,3500800,,
135,113711.000,135 - RM OF HANOVER,129 ROCKRIDGE DR,20,0.93,21.5,2024,2958100,,
135,144000.075,135 - RM OF HANOVER,12 BARAK DR,20,1,20,2019,1925700,,
135,113733.000,135 - RM OF HANOVER,80 CRESTVIEW LANE,18,0.83,21.7,2023,2443300,,
135,144000.091,135 - RM OF HANOVER,28 BARAK DR,18,0.9,20,2021,1891300,,
135,113730.000,135 - RM OF HANOVER,51 EDGEMONT PL,16,0.66,24.2,2022,2062900,,
135,113731.000,135 - RM OF HANOVER,61 EDGEMONT PL,16,0.68,23.5,2022,1987400,,
135,113734.000,135 - RM OF HANOVER,72 CRESTVIEW LANE,16,0.62,25.8,2023,2313800,,
135,138100.133,135 - RM OF HANOVER,54 FRIESEN AVE,16,3.1,5.2,2025,2377600,,
135,187700.000,135 - RM OF HANOVER,30032 PTH 52,12,5.07,2.4,2023,2092900,,
135,245517.000,135 - RM OF HANOVER,96 REDWING TRL,12,0.97,12.4,2026,1799000,,
135,67600.105,135 - RM OF HANOVER,25 PRIMROSE LANE,12,0.43,27.9,2026,1788300,,
135,138100.026,135 - RM OF HANOVER,37 BEECHWOOD ST,8,0.74,10.8,2022,1152000,,
135,79576.200,135 - RM OF HANOVER,339 NEUFELD DR,8,0.41,19.5,2026,863600,,
135,113756.000,135 - RM OF HANOVER,52 EDGEMONT PL,6,0.25,24,2023,890700,,
135,113757.000,135 - RM OF HANOVER,38 EDGEMONT PL,6,0.38,15.8,2023,816700,,
135,113759.000,135 - RM OF HANOVER,22 EDGEMONT PL,6,0.33,18.2,2023,856300,,
453,86605.000,453 - TOWN OF STONEWALL,622 CENTRE AVE,194,3.73,52,2019,16461500,,
453,110440.000,453 - TOWN OF STONEWALL,600 3rd AVE S,33,0.97,34,2022,5469400,,
453,110450.000,453 - TOWN OF STONEWALL,3 - 5 QUARRY RIDGE DR,32,1.16,27.6,2025,5109900,,
453,54900.000,453 - TOWN OF STONEWALL,Unit 1-9 - 286 3RD AVE N,9,0.34,26.5,2026,1890800,,
